receiving labware location,receiving well location,stock labware location 1,stock well location 1,volume 1,priority,mix
2,B7,5,B7,50,47,yes
4,B8,1,B8,20,48,yes
5,B8,4,B8,20,49,yes
2,B8,5,B8,50,50,yes
4,C1,1,C1,20,51,yes
5,C1,4,C1,20,52,yes
2,C1,5,C1,50,53,yes
4,C2,1,C2,20,54,yes
5,C2,4,C2,20,55,yes
2,C2,5,C2,50,56,yes
4,C3,1,C3,20,57,yes
5,C3,4,C3,20,58,yes
2,C3,5,C3,50,59,yes
4,C4,1,C4,20,60,yes
5,C4,4,C4,20,61,yes
2,C4,5,C4,50,62,yes
4,C5,1,C5,20,63,yes
5,C5,4,C5,20,64,yes
2,C5,5,C5,50,65,yes
4,C6,1,C6,20,66,yes
5,C6,4,C6,20,67,yes
2,C6,5,C6,50,68,yes
4,C7,1,C7,20,69,yes
5,C7,4,C7,20,70,yes
2,C7,5,C7,50,71,yes
4,C8,1,C8,20,72,yes
5,C8,4,C8,20,73,yes
2,C8,5,C8,50,74,yes
4,D1,1,D1,20,75,yes
5,D1,4,D1,20,76,yes
2,D1,5,D1,50,77,yes
4,D2,1,D2,20,78,yes
5,D2,4,D2,20,79,yes
2,D2,5,D2,50,80,yes
4,D3,1,D3,20,81,yes
5,D3,4,D3,20,82,yes
2,D3,5,D3,50,83,yes
4,D4,1,D4,20,84,yes
5,D4,4,D4,20,85,yes
2,D4,5,D4,50,86,yes
4,D5,1,D5,20,87,yes
5,D5,4,D5,20,88,yes
2,D5,5,D5,50,89,yes
4,D6,1,D6,20,90,yes
5,D6,4,D6,20,91,yes
2,D6,5,D6,50,92,yes
4,D7,1,D7,20,93,yes
5,D7,4,D7,20,94,yes
2,D7,5,D7,50,95,yes
4,D8,1,D8,20,96,yes
5,D8,4,D8,20,97,yes
2,D8,5,D8,50,98,yes
4,E1,1,E1,20,99,yes
5,E1,4,E1,20,100,yes
2,E1,5,E1,50,101,yes
4,E2,1,E2,20,102,yes
5,E2,4,E2,20,103,yes
2,E2,5,E2,50,104,yes
4,E3,1,E3,20,105,yes
5,E3,4,E3,20,106,yes
2,E3,5,E3,50,107,yes
4,E4,1,E4,20,108,yes
5,E4,4,E4,20,109,yes
