labware_title,type,location
ecmcustom_15_tuberack_14780ul,labware,11
ecmcustom_15_tuberack_14780ul,labware,8
opentrons_96_filtertiprack_200ul,labware,10
heaterShakerModuleV1,module,1
ecmcustom_40_wellplate_881.3ul,labware,1
